Metric,Value
timing__hold__wns__corner:max_ss_100C_1v60,0
timing__setup__wns__corner:max_ss_100C_1v60,-5.350721794866528
timing__hold_vio__count__corner:max_ss_100C_1v60,0
timing__hold_r2r__ws__corner:max_ss_100C_1v60,0.844931
timing__hold_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__setup_vio__count__corner:max_ss_100C_1v60,992
timing__setup_r2r__ws__corner:max_ss_100C_1v60,-5.350722
timing__setup_r2r_vio__count__corner:max_ss_100C_1v60,992
timing__unannotated_net__count__corner:max_ss_100C_1v60,102
timing__unannotated_net_filtered__count__corner:max_ss_100C_1v60,0
design__max_slew_violation__count__corner:max_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:max_ff_n40C_1v95,94
design__max_cap_violation__count__corner:max_ff_n40C_1v95,0
clock__skew__worst_hold__corner:max_ff_n40C_1v95,-0.47117899804367597
clock__skew__worst_setup__corner:max_ff_n40C_1v95,0.503232691983379
timing__hold__ws__corner:max_ff_n40C_1v95,0.11716938861903683
timing__setup__ws__corner:max_ff_n40C_1v95,2.785249443250893
timing__hold__tns__corner:max_ff_n40C_1v95,0.0
timing__setup__tns__corner:max_ff_n40C_1v95,0.0
timing__hold__wns__corner:max_ff_n40C_1v95,0
timing__setup__wns__corner:max_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:max_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:max_ff_n40C_1v95,0.117169
timing__hold_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:max_ff_n40C_1v95,8.672854
timing__setup_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count__corner:max_ff_n40C_1v95,102
timing__unannotated_net_filtered__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count,102
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_tt_025C_1v80,1.7999
design_powergrid__drop__average__net:VPWR__corner:nom_tt_025C_1v80,1.79999
design_powergrid__drop__worst__net:VPWR__corner:nom_tt_025C_1v80,0.00010185
design_powergrid__voltage__worst__net:VGND__corner:nom_tt_025C_1v80,0.000112797
design_powergrid__drop__average__net:VGND__corner:nom_tt_025C_1v80,0.0000116045
design_powergrid__drop__worst__net:VGND__corner:nom_tt_025C_1v80,0.000112797
design_powergrid__voltage__worst,0.000112797
design_powergrid__voltage__worst__net:VPWR,1.7999
design_powergrid__drop__worst,0.000112797
design_powergrid__drop__worst__net:VPWR,0.00010185
design_powergrid__voltage__worst__net:VGND,0.000112797
design_powergrid__drop__worst__net:VGND,0.000112797
ir__voltage__worst,1.8000000000000000444089209850062616169452667236328125
ir__drop__avg,0.000011500000000000000008998878031629686802261858247220516204833984375
ir__drop__worst,0.000101999999999999999195955668884749911740073002874851226806640625
magic__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
